unique_id,ds,LSTM,NBEATS,NHITS,PatchTST,TimeMixer,TimesNet,Informer,TFT
USA/CA/CA_1/FOODS,2016-03-31,2615.6724,2446.385,2455.4211,2515.9187,2612.5166,2512.0227,2466.2964,2549.4734
USA/CA/CA_1/FOODS,2016-04-01,3030.8577,2861.1038,2901.6216,2911.4128,2856.6865,2872.852,2841.4233,2950.0764
USA/CA/CA_1/FOODS,2016-04-02,3892.8628,3774.303,3752.7568,3875.949,3806.6707,3823.6099,3711.62,3819.9922
USA/CA/CA_1/FOODS,2016-04-03,3739.4304,3964.5974,3903.3467,3875.1836,4053.729,3973.9036,4033.1926,3999.9973
USA/CA/CA_1/FOODS,2016-04-04,2814.5674,2866.4001,2886.3005,2832.4326,2878.668,3063.3328,3168.8147,2912.4414
USA/CA/CA_1/FOODS,2016-04-05,2642.9412,2612.488,2601.319,2630.0625,2630.6436,2659.0154,2676.842,2632.3794
USA/CA/CA_1/FOODS,2016-04-06,2594.993,2584.888,2572.6045,2641.284,2639.214,2664.5142,2567.5178,2586.3853
USA/CA/CA_1/FOODS,2016-04-07,2637.2512,2573.0764,2603.5261,2675.7898,2600.344,2624.0984,2538.1575,2602.9001
USA/CA/CA_1/FOODS,2016-04-08,3038.417,2882.8875,2940.2627,3009.2698,2932.0925,2851.383,2874.4805,2978.681
USA/CA/CA_1/FOODS,2016-04-09,3879.8518,3854.7644,3848.9924,3863.8647,3859.5056,3816.892,3796.9175,3806.1533
USA/CA/CA_1/FOODS,2016-04-10,3724.3774,3956.835,4017.5945,3868.1758,4034.995,3942.0876,4215.512,4015.5127
USA/CA/CA_1/FOODS,2016-04-11,2757.0852,2928.3806,2947.6423,2823.7566,2852.722,2986.3928,3065.4966,2875.0847
USA/CA/CA_1/FOODS,2016-04-12,2569.3992,2690.0547,2644.9521,2566.3364,2610.376,2584.7883,2540.103,2583.0317
USA/CA/CA_1/FOODS,2016-04-13,2507.5063,2556.0178,2569.5908,2460.4065,2522.3638,2502.8083,2390.8284,2522.9426
USA/CA/CA_1/FOODS,2016-04-14,2540.0024,2442.3713,2560.809,2493.6296,2535.6921,2435.2302,2445.1228,2519.339
USA/CA/CA_1/FOODS,2016-04-15,2945.9634,2718.751,2878.5505,2768.2122,2908.8635,2814.7703,2801.141,2883.1287
USA/CA/CA_1/FOODS,2016-04-16,3764.8962,3727.8298,3750.1558,3756.8953,3816.815,3712.9348,3749.4727,3711.3574
USA/CA/CA_1/FOODS,2016-04-17,3593.337,3829.568,3924.9915,3756.5825,3884.5273,3833.3276,4021.8936,3881.0842
USA/CA/CA_1/FOODS,2016-04-18,2657.1802,2770.329,2854.7686,2717.5813,2836.3137,2946.3418,2958.041,2773.234
USA/CA/CA_1/FOODS,2016-04-19,2464.1511,2495.9688,2561.298,2461.4019,2681.6824,2559.9487,2428.8755,2495.6348
USA/CA/CA_1/FOODS,2016-04-20,2450.6074,2485.5667,2523.6226,2434.8691,2584.8838,2515.839,2333.468,2449.931
USA/CA/CA_1/FOODS,2016-04-21,2498.1904,2487.1016,2535.1416,2557.937,2611.4785,2488.1848,2388.6301,2461.8123
USA/CA/CA_1/FOODS,2016-04-22,2926.6409,2701.9883,2896.7776,2977.7463,3025.8699,2832.1885,2747.359,2841.6406
USA/CA/CA_1/FOODS,2016-04-23,3758.063,3633.0593,3779.8486,3795.9363,3732.7542,3729.415,3632.3767,3677.5378
USA/CA/CA_1/FOODS,2016-04-24,3599.2163,3724.5837,3908.105,3681.0642,3819.929,3813.3386,3971.4521,3828.777
USA/CA/CA_1/FOODS/FOODS_1,2016-03-28,314.5671,300.27014,305.9285,304.08853,303.83963,317.47708,302.26013,312.4854
USA/CA/CA_1/FOODS/FOODS_1,2016-03-29,299.9565,292.365,293.2381,276.7814,289.09268,294.5763,275.30908,289.76035
USA/CA/CA_1/FOODS/FOODS_1,2016-03-30,297.83813,296.339,295.1624,278.45737,287.95877,276.79745,280.0914,286.9425
USA/CA/CA_1/FOODS/FOODS_1,2016-03-31,314.96497,295.5613,298.80133,312.8681,303.2633,305.06818,298.4315,300.22818
USA/CA/CA_1/FOODS/FOODS_1,2016-04-01,411.7461,366.6169,367.91602,387.187,365.3608,366.25616,355.08612,366.04108
USA/CA/CA_1/FOODS/FOODS_1,2016-04-02,486.16867,452.74414,443.50327,482.40497,446.41733,449.68182,480.0751,461.2433
USA/CA/CA_1/FOODS/FOODS_1,2016-04-03,399.2151,387.79218,380.79532,417.5176,391.57068,413.06534,423.13376,415.22485
USA/CA/CA_1/FOODS/FOODS_1,2016-04-04,306.27905,296.30478,299.5072,309.0847,297.5812,313.31805,314.64365,308.384
USA/CA/CA_1/FOODS/FOODS_1,2016-04-05,295.636,283.55594,285.3022,288.14145,284.62555,287.05734,290.7146,289.10602
USA/CA/CA_1/FOODS/FOODS_1,2016-04-06,289.4523,290.0321,292.2226,297.64203,284.3689,291.7286,285.046,290.81546
USA/CA/CA_1/FOODS/FOODS_1,2016-04-07,311.668,305.23505,296.08093,306.12125,297.0387,308.67084,285.70996,301.9098
USA/CA/CA_1/FOODS/FOODS_1,2016-04-08,403.12152,361.41006,364.3242,373.7397,356.97864,357.70227,361.01266,368.45898
USA/CA/CA_1/FOODS/FOODS_1,2016-04-09,476.1845,442.25375,449.21158,468.48026,426.50327,461.69553,465.5512,458.8792
USA/CA/CA_1/FOODS/FOODS_1,2016-04-10,389.91833,383.92062,386.37027,399.0552,378.0631,416.69324,445.09818,421.49298
USA/CA/CA_1/FOODS/FOODS_1,2016-04-11,294.11084,298.20377,313.57764,297.59033,298.98816,312.99362,311.04984,312.18707
USA/CA/CA_1/FOODS/FOODS_1,2016-04-12,282.72708,288.10294,303.4112,290.65305,302.66504,298.6015,273.12466,289.27798
USA/CA/CA_1/FOODS/FOODS_1,2016-04-13,280.76242,298.48312,303.25897,296.86816,279.9601,297.05228,264.6511,288.00272
USA/CA/CA_1/FOODS/FOODS_1,2016-04-14,300.36166,302.3358,311.31726,306.87756,321.864,313.77365,283.5808,297.44577
USA/CA/CA_1/FOODS/FOODS_1,2016-04-15,388.38477,353.13947,375.2024,368.07642,374.18744,395.77625,347.12332,363.3922
USA/CA/CA_1/FOODS/FOODS_1,2016-04-16,463.24008,442.75586,452.78073,461.00323,458.6624,458.69067,462.4785,454.66757
USA/CA/CA_1/FOODS/FOODS_1,2016-04-17,377.93768,387.8731,387.68793,389.31528,381.1175,412.7296,410.69568,415.07257
USA/CA/CA_1/FOODS/FOODS_1,2016-04-18,287.17432,294.17184,306.8563,303.74927,317.9704,326.84,300.1502,307.14514
USA/CA/CA_1/FOODS/FOODS_1,2016-04-19,273.75827,291.98874,297.44684,263.5858,294.00906,302.8742,264.97583,284.142
USA/CA/CA_1/FOODS/FOODS_1,2016-04-20,279.00464,297.25647,299.73813,273.54193,310.71725,306.3659,261.22986,282.6459
USA/CA/CA_1/FOODS/FOODS_1,2016-04-21,300.30075,302.08688,311.7849,304.89377,329.29013,323.8259,280.04675,290.97733
USA/CA/CA_1/FOODS/FOODS_1,2016-04-22,397.15115,362.66388,375.46237,395.56836,407.7573,389.41586,345.46332,354.81183
USA/CA/CA_1/FOODS/FOODS_1,2016-04-23,475.2858,444.35223,458.06094,471.38904,449.01987,455.49933,461.9046,448.92844
USA/CA/CA_1/FOODS/FOODS_1,2016-04-24,391.3954,391.9924,397.54227,405.06882,372.8934,411.6407,441.72626,413.16107
USA/CA/CA_1/FOODS/FOODS_2,2016-03-28,424.76334,449.8868,472.1299,418.31967,442.7327,448.4844,456.79956,442.98187
USA/CA/CA_1/FOODS/FOODS_2,2016-03-29,414.7909,409.79562,419.0851,404.51282,393.0725,410.95694,391.2934,417.3509
USA/CA/CA_1/FOODS/FOODS_2,2016-03-30,425.56488,413.87134,424.80933,405.44092,382.14365,403.22604,389.0309,419.6465
USA/CA/CA_1/FOODS/FOODS_2,2016-03-31,447.33905,441.67578,440.20016,433.449,449.25632,418.82486,414.69238,440.53784
USA/CA/CA_1/FOODS/FOODS_2,2016-04-01,511.7469,527.02673,519.98645,505.1811,486.64,495.77142,498.92154,516.95123
USA/CA/CA_1/FOODS/FOODS_2,2016-04-02,632.9004,705.81476,669.27704,671.37354,663.3511,674.08044,672.82263,644.6528
USA/CA/CA_1/FOODS/FOODS_2,2016-04-03,623.9103,720.39026,728.09283,693.1614,750.7536,743.6292,728.2367,678.0256
USA/CA/CA_1/FOODS/FOODS_2,2016-04-04,507.4206,602.07544,603.25714,533.19244,580.79865,608.6206,574.4338,541.9581
USA/CA/CA_1/FOODS/FOODS_2,2016-04-05,477.7871,517.72375,533.2529,485.535,496.2565,505.4594,486.39603,494.1623
USA/CA/CA_1/FOODS/FOODS_2,2016-04-06,478.4561,469.52487,518.77747,482.1492,488.5267,483.73935,457.68085,484.04352
USA/CA/CA_1/FOODS/FOODS_2,2016-04-07,485.16028,455.93045,509.69382,484.567,470.13843,464.0475,459.97247,483.97592
USA/CA/CA_1/FOODS/FOODS_2,2016-04-08,529.18445,487.6095,545.0722,534.0583,528.4469,498.87747,509.73822,538.74445
USA/CA/CA_1/FOODS/FOODS_2,2016-04-09,649.32367,660.9287,689.771,688.5399,676.98804,664.12634,660.3074,659.6925
USA/CA/CA_1/FOODS/FOODS_2,2016-04-10,636.5415,701.4224,736.9203,684.4449,735.33777,730.344,739.0953,699.06854
USA/CA/CA_1/FOODS/FOODS_2,2016-04-11,500.7604,577.01984,593.239,521.8007,557.39166,574.0538,583.2337,541.03644
USA/CA/CA_1/FOODS/FOODS_2,2016-04-12,457.38678,489.27145,513.8996,455.73022,468.36737,449.31662,459.7392,479.88934
USA/CA/CA_1/FOODS/FOODS_2,2016-04-13,442.72247,449.6338,483.54962,438.69327,437.77057,429.18332,415.4783,459.539
USA/CA/CA_1/FOODS/FOODS_2,2016-04-14,438.617,434.87836,463.84033,448.6678,427.00485,402.7592,417.15845,451.94635
USA/CA/CA_1/FOODS/FOODS_2,2016-04-15,486.16354,457.49606,507.52573,490.00833,477.65198,449.8291,469.84628,496.71262
USA/CA/CA_1/FOODS/FOODS_2,2016-04-16,606.0526,639.2788,654.6333,648.32947,630.60376,610.3085,614.546,621.9479
USA/CA/CA_1/FOODS/FOODS_2,2016-04-17,584.52893,656.0952,698.9642,641.88184,679.16956,683.2422,694.5514,655.8528
USA/CA/CA_1/FOODS/FOODS_2,2016-04-18,447.91858,519.90753,541.327,483.77847,519.12585,518.0336,534.8033,491.79977
USA/CA/CA_1/FOODS/FOODS_2,2016-04-19,408.742,432.36005,455.14832,446.30295,473.87585,426.426,417.53284,429.85696
USA/CA/CA_1/FOODS/FOODS_2,2016-04-20,404.1577,410.2866,436.34424,422.054,419.95886,403.5287,394.87677,413.34732
USA/CA/CA_1/FOODS/FOODS_2,2016-04-21,412.77368,395.6281,421.4113,462.5108,420.1756,395.5689,402.24576,409.06583
USA/CA/CA_1/FOODS/FOODS_2,2016-04-22,466.23984,429.10706,470.95477,508.8298,485.26007,447.1361,451.53552,450.86514
USA/CA/CA_1/FOODS/FOODS_2,2016-04-23,570.89404,592.3332,615.4165,639.2564,611.56854,595.82745,588.08026,576.1162
USA/CA/CA_1/FOODS/FOODS_2,2016-04-24,550.4697,641.9027,664.61896,614.99396,651.8904,662.93774,680.7524,603.7709
USA/CA/CA_1/FOODS/FOODS_3,2016-03-28,1963.3168,1830.3906,1942.0818,1852.1935,1946.9111,1932.2839,1955.2036,2032.9999
USA/CA/CA_1/FOODS/FOODS_3,2016-03-29,1823.442,1678.3174,1739.8013,1714.5745,1783.343,1772.6437,1701.2655,1794.4873
USA/CA/CA_1/FOODS/FOODS_3,2016-03-30,1798.2589,1712.3483,1740.3624,1678.886,1725.7891,1755.8988,1717.1942,1766.899
USA/CA/CA_1/FOODS/FOODS_3,2016-03-31,1838.7134,1737.836,1741.9081,1733.9047,1864.3624,1786.5068,1768.2213,1799.6802
USA/CA/CA_1/FOODS/FOODS_3,2016-04-01,2133.9487,1983.6237,2041.494,2005.3234,2020.9747,2033.578,2026.715,2061.346
USA/CA/CA_1/FOODS/FOODS_3,2016-04-02,2793.3003,2670.2947,2675.6296,2711.8599,2698.3105,2726.2097,2580.4102,2695.5369
USA/CA/CA_1/FOODS/FOODS_3,2016-04-03,2721.0103,2818.908,2817.2866,2738.2212,2906.5469,2838.8108,2870.3457,2864.908
USA/CA/CA_1/FOODS/FOODS_3,2016-04-04,1997.7736,1971.9004,2010.3821,1966.226,2011.9263,2148.194,2296.391,2054.079
USA/CA/CA_1/FOODS/FOODS_3,2016-04-05,1841.7782,1799.4482,1811.2158,1804.4248,1845.8624,1856.9967,1897.0406,1842.7927
USA/CA/CA_1/FOODS/FOODS_3,2016-04-06,1802.4692,1801.8193,1797.3517,1810.8406,1859.2073,1877.0085,1815.1418,1808.6562
USA/CA/CA_1/FOODS/FOODS_3,2016-04-07,1829.0116,1817.6251,1827.3243,1844.1324,1837.2577,1848.7496,1790.0477,1816.9799
USA/CA/CA_1/FOODS/FOODS_3,2016-04-08,2123.594,2041.0177,2066.571,2068.1824,2059.2666,2006.8362,2025.3838,2065.7874
USA/CA/CA_1/FOODS/FOODS_3,2016-04-09,2773.8933,2761.1335,2736.0002,2692.809,2751.3809,2719.0015,2588.4285,2673.014
USA/CA/CA_1/FOODS/FOODS_3,2016-04-10,2698.459,2858.1892,2890.9497,2769.1865,2906.0623,2814.6846,2970.422,2853.538
USA/CA/CA_1/FOODS/FOODS_3,2016-04-11,1957.789,2052.0254,2042.0756,1975.0521,2012.1539,2101.3718,2151.103,2016.1594
USA/CA/CA_1/FOODS/FOODS_3,2016-04-12,1796.4327,1892.7275,1842.3533,1782.7816,1840.6947,1822.8627,1773.7677,1807.4336
USA/CA/CA_1/FOODS/FOODS_3,2016-04-13,1756.9067,1825.3666,1806.6738,1695.438,1795.3501,1768.346,1674.2933,1767.7844
USA/CA/CA_1/FOODS/FOODS_3,2016-04-14,1786.2362,1744.4658,1807.9867,1716.4073,1789.2384,1719.9901,1714.8354,1767.0072
USA/CA/CA_1/FOODS/FOODS_3,2016-04-15,2086.4158,1908.5422,2034.124,1897.5873,2066.3616,1987.6528,1976.1775,2015.6702
USA/CA/CA_1/FOODS/FOODS_3,2016-04-16,2712.075,2661.684,2672.6553,2652.871,2720.0933,2648.9072,2651.5732,2620.5146
USA/CA/CA_1/FOODS/FOODS_3,2016-04-17,2635.104,2760.6387,2826.635,2713.6545,2817.7456,2736.5818,2860.184,2768.6338
USA/CA/CA_1/FOODS/FOODS_3,2016-04-18,1918.0891,1939.9175,1998.4832,1912.1167,2021.1522,2112.8848,2096.9321,1957.1082
USA/CA/CA_1/FOODS/FOODS_3,2016-04-19,1755.7595,1793.6296,1814.3127,1718.7161,1910.8817,1819.6855,1714.8893,1757.2177
USA/CA/CA_1/FOODS/FOODS_3,2016-04-20,1743.9232,1741.4099,1792.8328,1699.8202,1837.6035,1791.0507,1646.6592,1725.8627
USA/CA/CA_1/FOODS/FOODS_3,2016-04-21,1773.7477,1774.9683,1808.7183,1765.1855,1865.4233,1774.0746,1692.3129,1734.2196
USA/CA/CA_1/FOODS/FOODS_3,2016-04-22,2081.9065,1923.9634,2050.5256,2054.621,2147.2996,2014.199,1963.1891,1999.1674
USA/CA/CA_1/FOODS/FOODS_3,2016-04-23,2727.6272,2602.6167,2712.952,2667.9497,2670.1616,2668.168,2592.4739,2611.0637
USA/CA/CA_1/FOODS/FOODS_3,2016-04-24,2656.8767,2683.9731,2836.6606,2661.8062,2786.418,2741.5981,2854.6204,2742.8638
USA/CA/CA_1/HOBBIES,2016-03-28,419.2997,443.18958,455.08566,429.70456,428.6809,444.3052,457.93802,453.9743
USA/CA/CA_1/HOBBIES,2016-03-29,411.00256,438.0054,438.91757,426.0737,409.43073,435.923,450.11172,447.2352
USA/CA/CA_1/HOBBIES,2016-03-30,413.4826,456.22876,453.49905,439.70178,420.687,436.8929,444.68835,452.58084
USA/CA/CA_1/HOBBIES,2016-03-31,437.6455,460.95108,461.2382,452.1285,470.06323,444.15564,455.1093,464.99353
USA/CA/CA_1/HOBBIES,2016-04-01,513.89594,541.6274,521.01086,487.93716,507.95093,504.65298,502.55508,504.64105
USA/CA/CA_1/HOBBIES,2016-04-02,584.0451,635.2841,625.33325,587.5796,615.0806,610.08673,614.03815,583.99786
USA/CA/CA_1/HOBBIES,2016-04-03,514.9566,596.3391,579.9109,549.4234,594.3135,584.12787,625.5121,579.68854
USA/CA/CA_1/HOBBIES,2016-04-04,438.25473,498.00122,498.4737,451.2256,472.86896,490.96426,525.04156,488.12573
USA/CA/CA_1/HOBBIES,2016-04-05,423.14368,461.65424,464.37656,417.14233,441.93045,451.03305,473.87576,460.85083
USA/CA/CA_1/HOBBIES,2016-04-06,421.56662,461.00156,463.35913,433.6581,451.2354,451.77185,467.15683,460.22266
USA/CA/CA_1/HOBBIES,2016-04-07,438.69617,456.73087,467.44208,439.86826,448.98724,453.1405,473.2171,466.2542
USA/CA/CA_1/HOBBIES,2016-04-08,514.28455,509.98907,518.4665,478.3829,505.46936,506.46295,517.7615,500.67288
USA/CA/CA_1/HOBBIES,2016-04-09,584.30505,598.9372,620.3819,591.26575,617.5229,617.6031,622.0356,585.5337
USA/CA/CA_1/HOBBIES,2016-04-10,516.02344,580.5655,578.30695,545.0505,574.08905,589.30774,615.63916,584.8433
USA/CA/CA_1/HOBBIES,2016-04-11,441.285,483.43362,495.86325,457.02966,493.30597,477.49554,513.48676,490.87677
USA/CA/CA_1/HOBBIES,2016-04-12,425.21634,455.4766,467.24722,427.78253,465.67343,446.599,458.1792,462.39642
USA/CA/CA_1/HOBBIES,2016-04-13,418.33517,453.00668,462.83524,445.0641,445.18045,444.46735,451.61023,459.9509
USA/CA/CA_1/HOBBIES,2016-04-14,438.63885,447.69885,463.89255,437.2752,445.5492,436.06314,464.05032,465.47366
USA/CA/CA_1/HOBBIES,2016-04-15,516.0009,502.69037,515.63556,488.39334,490.10385,486.02954,517.0705,498.7386
